,neg_log_loss,accuracy,f1_weighted,roc_auc,precision,recall
0,-0.6938787502132949,0.5090317331163547,0.5085883508502191,0.5123924383570531,0.5070480348318408,0.48985779941043545
1,-0.6934060314036161,0.49308380797396256,0.38299903835967813,0.5111419707369944,0.26707454703010236,0.17065700575229154
2,-0.6939107655132948,0.5020341741253052,0.5015525860217277,0.5015290956102746,0.4993839437767596,0.47296662083348173
3,-0.6933553314637244,0.48771358828315703,0.42108854171095667,0.5163840980058342,0.5072329352759724,0.4454478288388031
4,-0.6931502788786479,0.4883645240032547,0.3209499808700764,0.515301028110102,0.059397884458909686,0.13344182262001628
5,-0.7505856989331943,0.4999186330349878,0.5000959610353506,0.5027477743269985,0.4966911658919857,0.4900630773041333
6,-0.6979769919860982,0.513913751017087,0.5136048969885011,0.5173777373877435,0.5122395067727564,0.5024212352578689
7,-0.700146714331954,0.5088689991863303,0.508212436133829,0.5141373546929356,0.507661551373517,0.4743370798332002
8,-0.6947332605060803,0.5220504475183075,0.5216189819668062,0.5232120763810864,0.5202983378639984,0.5200936882759686
9,-0.7111969028133884,0.5015459723352319,0.5016339623765044,0.5038388109136994,0.4984052447353431,0.5027340389510996
10,-17.24409535876094,0.503986981285598,0.5115119906329623,0.49663691783597014,0.4988327800593627,0.5033109499189666
